CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-4810,OASIS SON-34 DDJAY-APHP,,,29/03/2023,LC-4810A,110 OF 2022,10/08/2022,DDJAY-APHP,48.0125,Sonipat,09/08/2027,34,Oasis Landmarks LLP,View Land Schedule,View
LC-4596,BGCC SON-10 & 11 DDJAY-APHP,,,,LC-4596A,119 OF 2022,16/08/2022,DDJAY-APHP,18.44375,Sonipat,15/08/2027,10 & 11,BGCC DEVELOPERS PRIVATE LIMITED,View Land Schedule,View
LC-4707,SAMYAK SON-33 DDJAY-APHP,,,,LC-4707A,146 OF 2022,28/09/2022,DDJAY-APHP,5.645,Sonipat,27/09/2027,33,Samyak Properties and Infrastructure Pvt. Ltd.,View Land Schedule,View
LC-4818,GEMINI SON-34 DDJAY-APHP,,,20/06/2024,LC-4818A,180 OF 2022,09/11/2022,DDJAY-APHP,6.5375,Sonipat,08/11/2027,34,Gemini Agrofarms Private Limited,View Land Schedule,View
LC-4819,GEMINI SON-34 DDJAY-APHP,,,21/05/2026,LC-4819A,181 OF 2022,09/11/2022,DDJAY-APHP,5.95625,Sonipat,08/11/2027,33,Gemini Agrofarms Private Limited,View Land Schedule,View
LC-4490,JAI KRISHNA SON-27 DDJAY-APHP (Revised Layout Plan) (Demarcation cum Zoning Plan) (Zoning Plan),,,,LC-4490A,203 OF 2022,08/12/2022,DDJAY-APHP,7.30625,Sonipat,07/12/2027,27,Jai Krishna Artec JV,View Land Schedule,View
LC-4737,MAPSKO SON-35 DDJAY-APHP,,,,LC-4737A,207 OF 2022,15/12/2022,DDJAY-APHP,16.4875,Sonipat,14/12/2027,35,Mapsko Builders Pvt. Ltd.,View Land Schedule,View
LC-4737,MAPSKO SON-35 DDJAY-APHP,,,,LC-4737C,36 OF 2024,07/03/2024,DDJAY-APHP,6.81875,Sonipat,06/03/2029,35,Mapsko Builders Pvt. Ltd.,View Land Schedule,View
LC-4753,NEXTRA KHA-2 DDJAY-APHP (Demarcation Cum Zoning Plan) (Proposed Layout Plan),,,,LC-4753A,06 OF 2023,06/01/2023,DDJAY-APHP,15.401,Kharkhauda,05/01/2028,02,Nextra Developers LLP,View Land Schedule,View
LC-4732,SHRI RAM SON-27 DDJAY-APHP,,,21/08/2024 21/08/2024,LC-4732A,31 OF 2023,10/02/2023,DDJAY-APHP,6.34375,Sonipat,09/02/2028,27,Shri Ram Sharanam Consultants Pvt. Ltd.,View Land Schedule,View
LC-4949,YP INFRATECH SON IPA,,,,LC-4949A,46 OF 2023,02/03/2023,IPA,11.8375,Kharkhauda,01/03/2028,NA,Y.P. Infratech Pvt. Ltd.,View Land Schedule,View
LC-4848,SKYLARK SON-35 DDJAY-APHP,,,,LC-4848A,53 OF 2023,14/03/2023,DDJAY-APHP,5.05625,Sonipat,13/03/2028,35,Skylark Flying Real Estate Pvt. Ltd.,View Land Schedule,View
LC-4969,SNB SON-16 CPL,,,,LC-4969A,64 OF 2023,29/03/2023,CPL,2.3,Sonipat,28/03/2028,16,SNB Reality Private Limited,View Land Schedule,View
LC-4940,NARENDRA KHA-2A DDJAY-APHP,,,,LC-4940A,76 OF 2023,07/04/2023,DDJAY-APHP,15.40625,Kharkhauda,06/04/2028,2A,Sh. Narendra Gehlaut,View Land Schedule,View
LC-4960,RAM SETU SON-34 DDJAY-APHP,,,,LC-4960A,89 OF 2023,19/04/2023,DDJAY-APHP,5.6125,Sonipat,18/04/2028,34,Ram Setu Buildwell Pvt. Ltd.,View Land Schedule,View
LC-4842,SPJ SON-47 IPL (Zoning Plan) (Revised Combined Zoning Plan),,,,LC-4842A,94 OF 2023,27/04/2023,IPL,25.34347,Sonipat,26/04/2028,47,SPJ Promoters Pvt. Ltd.,View Land Schedule,View
LC-4842,SPJ SON-47 IPL (Zoning Plan) (Revised Combined Zoning Plan),,,,LC-4842B,44 OF 2025,28/03/2025,IPL,4.18125,Sonipat,27/03/2030,47,SPJ Promoters Pvt. Ltd.,View Land Schedule,View
LC-4520,JINDAL SON-17 DDJAY-APHP,,,,LC-4520A,99 OF 2023,08/05/2023,DDJAY-APHP,12.15625,Sonipat,07/05/2028,17,Jindal Infrabuild Pvt ltd,View Land Schedule,View
LC-4901,ATEDUCON SON-58 DDJA-APHP,,,,LC-4901A,102 OF 2023,09/05/2023,DDJAY-APHP,5.06875,Sonipat,08/05/2028,58,AT EDUCON Pvt. Ltd.,View Land Schedule,View
LC-4876,ELD SON-33 DDJAY-APHP,,,,LC-4876A,109 OF 2023,17/05/2023,DDJAY-APHP,14.20625,Sonipat,16/05/2028,33,Eldeco Green Park Infrastructure Ltd.,View Land Schedule,View
LC-4835,JINDAL SON-34 RPL (Layout Plan),,,,LC-4835A,128 OF 2023,16/06/2023,RPL,95.2625,Sonipat,15/06/2028,34,Jindal Realty Pvt Ltd,View Land Schedule,View
LC-4942,GRAND SON-92 DDJAY-APHP (Zoning Plan),,,,LC-4942A,140 OF 2023,06/07/2023,DDJAY-APHP,16.96875,Sonipat,05/07/2028,92,Grand Imperial Developers LLP,View Land Schedule,View
LC-4951,GPB SON DDJAY-APHP,,,,LC-4951A,149 OF 2023,18/07/2023,DDJAY-APHP,30.4125,Sonipat,17/07/2028,NA,GPB Trading LLP,View Land Schedule,View
LC-4947,JAI KRISHNA SON-27 & 33 DDJAY-APHP,,,,LC-4947A,150 OF 2023,20/07/2023,DDJAY-APHP,20.56875,Sonipat,19/07/2028,33,Jai Krishna Artec JV,View Land Schedule,View
LC-5034,KAIRAV SON-26A DDJAY-APHP,,,06/07/2026,LC-5034A,165 OF 2023,21/08/2023,DDJAY-APHP,12.25625,Sonipat,20/08/2028,26A,Kairav Infrastructure pvt ltd.,View Land Schedule,View
LC-5015,MATHUR SON-87&88 DDJAY-APHP,,,,LC-5015A,174 OF 2023,31/08/2023,DDJAY-APHP,6.0625,Sonipat,30/08/2028,88,Mathur Developers and Infrastructures Pvt. Ltd.,View Land Schedule,View
LC-4984,ELDECO SON-33 DDJAY-APHP,,,,LC-4984A,181 OF 2023,11/09/2023,DDJAY-APHP,16.31875,Sonipat,10/09/2028,33,Eldeco Infracon Realtors Limited,View Land Schedule,View
LC-4917,SC HOTELS SON-19 DDJAY-APHP,,,,LC-4917A,206 OF 2023,10/10/2023,DDJAY-APHP,12.925,Sonipat,09/10/2028,19,SC Hotels and Resorts Pvt. Ltd.,View Land Schedule,View
LC-4613,EXPRESS SON-35 DDJAY-APHP (Demarcation cum Zoning Plan),,,,LC-4613A,207 OF 2023,13/10/2023,RPL,24.78125,Sonipat,12/10/2028,35,Express Projects (P) Ltd,View Land Schedule,View
LC-5069,MAHADEV KHA IPL(EPP) (Demarcation Cum Zoning Plan) (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5069A,218 OF 2023,23/10/2023,IPA,13.3125,Kharkhauda,22/10/2028,NA,Mahadev United Infrastructure Pvt. Ltd.,View Land Schedule,View
LC-5069,MAHADEV KHA IPL(EPP) (Demarcation Cum Zoning Plan) (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5069B,76 OF 2025,26/05/2025,IPA,12.1125,Kharkhauda,25/05/2030,NA,Mahadev United Infrastructure Pvt. Ltd.,View Land Schedule,View
LC-5069,MAHADEV KHA IPL(EPP) (Demarcation Cum Zoning Plan) (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5069C,225 OF 2025,14/11/2025,IPA,13.9125,Kharkhauda,13/11/2030,NA,Mahadev United Infrastructure Pvt. Ltd.,View Land Schedule,View
LC-5141,YP INFRATECH SON-24 DDJAY-APHP,,,,LC-5141A,243 OF 2023,10/11/2023,DDJAY-APHP,9.98177,Sonipat,09/11/2028,24,Y.P. Infratech Pvt. Ltd.,View Land Schedule,View
LC-4515,REGARDS SON-63 DDJAY-APHP,,,,LC-4515A,245 OF 2023,15/11/2023,DDJAY-APHP,10.18,Sonipat,14/11/2028,63,Regards Developers Pvt. Ltd.,View Land Schedule,View
LC-4892,TDI SON-17 DDJAY-APHP (Revised Layout Plan) (Revised -Demarcation - Cum Zoning Plan),,,,LC-4892A,246 OF 2023,15/11/2023,DDJAY-APHP,6.81,Sonipat,14/11/2028,17,TDI Realcon Pvt. Ltd.,View Land Schedule,View
LC-5094,RISHIKA KHA-4 DDJAY-APHP,,,,LC-5094A,255 OF 2023,17/11/2023,DDJAY-APHP,14.1625,Kharkhauda,16/11/2028,04,Rishika Structure LLP,View Land Schedule,View
LC-4972,MANJESH SON-33 DDJAY-APHP,,,,LC-4972A,261 OF 2023,07/12/2023,DDJAY-APHP,5.90625,Sonipat,06/12/2028,33,Sh. Manjesh,View Land Schedule,View
LC-5203,MANSHA SON-83&84 RPL (Revised Demarcation cum Zoning Plan),,,,LC-5203A,266 OF 2023,26/12/2023,RPL,21.13125,Sonipat,25/12/2028,84,MANSHA BUILDCON PVT. LTD.,View Land Schedule,View
LC-5203,MANSHA SON-83&84 RPL (Revised Demarcation cum Zoning Plan),,,,LC-5203B,191 OF 2024,24/12/2024,RPL,5.51875,Sonipat,23/12/2029,84,MANSHA BUILDCON PVT. LTD.,View Land Schedule,View
LC-5189,KESHU KHA-7 DDJAY-APHP,,,,LC-5189A,17 OF 2024,31/01/2024,DDJAY-APHP,7.6,Kharkhauda,30/01/2029,7,Keshu Promoters LLP,View Land Schedule,View
LC-5132,NEWSOHNA SON DDJAY-APHP,,,,LC-5132A,18 OF 2024,01/02/2024,DDJAY-APHP,8.60625,Sonipat,31/01/2029,NA,New Sohna Warehousing Pvt. Ltd.,View Land Schedule,View
LC-5323,SKYLARK SON-35 DDJAY-APHP,,,,LC-5323A,61 OF 2024,12/06/2024,DDJAY-APHP,6.38125,Sonipat,11/06/2029,35,Skylark Flying Real Estate Pvt. Ltd.,View Land Schedule,View
LC-4767,RPT SON-64 DDJAY-APHP,,,,LC-4767A,83 OF 2024,12/07/2024,DDJAY-APHP,5.4625,Sonipat,11/07/2029,64,RPT Estates Pvt. Ltd.,View Land Schedule,View
LC-5290,SNPC SON-10A DDJAY-APHP,,,,LC-5290A,94 OF 2024,25/07/2024,DDJAY-APHP,8.125,Kharkhauda,24/07/2029,NA,SNPC Global Residency LLP,View Land Schedule,View
LC-5290,SNPC SON-10A DDJAY-APHP,,,,LC-5290B,150 OF 2024,17/11/2024,DDJAY-APHP,7.01875,Kharkhauda,16/11/2029,NA,SNPC Global Residency LLP,View Land Schedule,View
LC-4766,QUARTERAGE SON-63&64 DDJAY-APHP (Revised & Layout Plan) (Demarcation Cum Zoning Plan) (Demarcation -Cum -Zoning Plan),,,,LC-4766A,95 OF 2024,25/07/2024,DDJAY-APHP,12.975,Sonipat,24/07/2029,64,Quarterage Developers Pvt. Ltd.,View Land Schedule,View
