Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
31,RERA-PKL-943-2021,THE SRI SURYA EWS CO-OPERATIVE GHS,HRERA-PKL-PNP-271-2021,THE NEW SHRI SURYA EWS COOPERATIVE GROUP HOUSING SOCIETY,"GH-06, SECTOR-13/17,PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1661 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1661
35,RERA-PKL-1138-2022,ELDECO PLAZA,HRERA-PKL-PNP-439-2023,ELDECO INFRASTRUCTURE AND PROPERTIES LIMITED,"SCO COMMERCIAL SITE 103, SECTOR 40 & 19 A",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2138 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2138
36,RERA-PKL-1259-2023,M3M CITY OF DREAMS I,HRERA-PKL-PNP-446-2023,UTTIRNA INFRAPROJECTS PRIVATE LIMITED,"SECTOR-37, PANIPAT, HARYANA",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2439 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2439
37,RERA-PKL-1743-2025,GEM INDUSTRIAL TOWNSHIP,HRERA-PKL-PNP-765-2025,BENZ REALTY,"VILLAGE MEHRANA,SECTOR 32-A",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3564 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3564
38,RERA-PKL-1110-2022,EMPERIUM PALM DRIVE,HRERA-PKL-PNP-349-2022,EMPERIUM DEVELOPERS PVT. LTD.,SECTOR-19A & 40,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2078 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2078
39,RERA-PKL-1174-2022,"THE SATKAR CO-OPERATIVE GROUP HOUSING SOCIETY LIMITED, PANIPAT",HRERA-PKL-PNP-406-2023,"THE SATKAR CO-OPERATIVE GROUP HOUSING SOCIETY LIMITED,","GHS SITE NO. 7, SECTOR 13-17, PANIPAT-132103",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2214 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2214
40,RERA-PKL-1252-2023,THE ADDRESS PANIPAT,HRERA-PKL-PNP-438-2023,M/S ADDRESS INFRASTRUCTURES PVT. LTD.,PANIPAT,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2414 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2414
41,RERA-PKL-1178-2022,PARADISE GREENS PANIPAT,HRERA-PKL-PNP-450-2023,PUSHPRATTAN DEVELOPERS PRIVATE LIMITED,"SEC-37,VILLAGE KABRI, PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2225 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2225
45,RERA-PKL-1329-2023,THE GRAND ENCLAVE,HRERA-PKL-PNP-495-2023,DLF HOME DEVELOPERS LIMITED,"SECTOR 40, VILLAGE SHIMLA MOLANA, DISTRICT PANIPAT, HARYANA",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2592 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2592
46,RERA-PKL-1751-2025,EMPERIUM SUPREME,HRERA-PKL-PNP-746-2025,THE KARAN EMPLOYEES CO-OPERATIVE GROUP HOUSING SOCIETY LTD.,"PLOT NO. GH-9, SECTOR 18",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3584 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3584
47,RERA-PKL-1722-2025,HARMONY SELECT CITY,HRERA-PKL-PNP-737-2025,SUPARVESH DEVELOPERS PVT LTD,"SECTOR-39, PANIPAT 132103",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3520 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3520
48,RERA-PKL-1419-2024,WINDSOR HOMES,HRERA-PKL-PNP-576-2024,LIBERTY INFRA CO,"VILLAGE SIMLA MULANA, SECTOR-40, PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2800 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2800
49,RERA-PKL-1434-2024,RISHIKA FLORIANA,HRERA-PKL-PNP-573-2024,RISHIKA CREATOR LLP,"VILLAGE SIMLA MULANA, SECTOR 40",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2842 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2842
50,RERA-PKL-1478-2024,SPLENDOR GRANDE PHASE 2,HRERA-PKL-PNP-618-2024,SPLENDOR LANDBASE LIMITED,"SECTOR - 19, PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2957 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2957
51,RERA-PKL-1601-2024,RALITH RETREAT,HRERA-PKL-PNP-789-2025,RALITH REALTY PVT. LTD.,"VILLAGE AZIZULAPUR, SECTOR-19A, PANIPAT, HARYANA",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3267 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3267
54,RERA-PKL-1499-2024,ELDECO ESTATE ONE PRESTIGE,HRERA-PKL-PNP-613-2024,ELDECO INFRASTRUCTURE AND PROPERTIES LIMITED,PANIPAT,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3018 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3018
55,RERA-PKL-1521-2024,THE CONNAUGHT PANIPAT,HRERA-PKL-PNP-619-2024,CROWN BUILDESTATES LLP,VILLAGE NIZAMPUR SECTOR 40,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3066 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3066
59,RERA-PKL-1619-2025,EARTH INDUSTRIAL PARK,HRERA-PKL-PNP-673-2025,M/S RELHAN AND BHATIA INDUSTRIAL WAREHOUSING & LOGISTIC PARK,VILLAGE RASLAPUR,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3313 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3313
60,RERA-PKL-1629-2025,MANSAROVER INDUSTRIAL PARK,HRERA-PKL-PNP-707-2025,M/S KUBER SPINTEX PVT LTD,VILLAGE AZIZULLAPUR,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3330 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3330
61,RERA-PKL-1780-2025,RISHIKA INDUSTRIAL PARK,HRERA-PKL-PNP-767-2025,PARACHUTE BUILDTECH LLP,VILLAGE SEWAH,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3643 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3643
62,RERA-PKL-2055-2026,NYRAA HOMES BY NYSA,HRERA-PKL-PNP-920-2026,INFRA PRIVATE LIMITED,VILLAGE SIMLA MULANA SECTOR 40 PANIPAT,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4122 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/4122
65,RERA-PKL-1645-2025,COMMERCIALS IN M3M CITY OF DREAMS II,HRERA-PKL-PNP-688-2025,UTTIRNA INFRAPROJECTS PRIVATE LIMITED,SECTOR 36 & 38,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3359 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3359
66,RERA-PKL-1644-2025,COMMERCIALS IN M3M CITY OF DREAMS I,HRERA-PKL-PNP-687-2025,UTTIRNA INFRAPROJECTS PRIVATE LIMITED,SECTOR 37,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3357 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3357
67,RERA-PKL-1642-2025,MAXVEL CEREMONY CITY,HRERA-PKL-PNP-682-2025,JAY SHIVA EARTHMOVERS AND CONSTRUCTION PRIVATE LIMITED,"VILLAGE BADOLI, SECTOR 40 PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3355 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3355
68,RERA-PKL-1862-2025,EVORA ESTATE B,HRERA-PKL-PNP-807-2025,M/S GODREJ PROJECTS DEVELOPMENT LTD,"VILLAGE BADAULI & MAULANA, SECTOR 40, PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3798 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3798
