CaseNo,Colony,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,ValidUpto,Sector,Developer
LC-3237 Map View,ALPHA KAR-29 DDJAY-APHP,LC-3237A,8 OF 2018,29/01/2018,DDJAY-APHP,9.26875,KARNAL,28/01/2023,29,ALPHA CORP DEVELOPMENT LIMITED
LC-3340 Map View,MAA VAISHMO KAR-28A DDJAY-APHP,LC-3340A,19 OF 2018,06/03/2018,DDJAY-APHP,15,KARNAL,05/03/2023,28A,MAA VAISHNO NET-TECH PVT. LTD.
LC-3333 Map View,FANTABULOUS KAR-28A DDJAY-APHP,LC-3333A,21 OF 2018,20/03/2018,DDJAY-APHP,15,KARNAL,19/03/2023,28A,FANTABULOUS TOWN PLANNERS PVT. LTD.
LC-3236 Map View,"ALPHA KAR-28, 28A DDJAY-APHP",LC-3236A,23 OF 2018,18/04/2018,DDJAY-APHP,14,KARNAL,17/04/2023,28A,Alpha Corp. Development Pvt. Ltd.
,,LC-3236B,30 OF 2022,22/03/2022,DDJAY-APHP,2.85,KARNAL,21/03/2027,28A,Alpha Corp. Development Pvt. Ltd.
LC-3234 Map View,ALPHA KAR-28A DDJAY-APHP,LC-3234A,24 OF 2018,18/04/2018,DDJAY-APHP,5.09375,KARNAL,17/04/2023,29,ALPHACORP DEVELOPMENT PVT. LTD.
LC-3601 Map View,JTPL KAR-34 DDJAY-APHP,LC-3601A,48 OF 2018,05/07/2018,DDJAY-APHP,14.60833,KARNAL,04/07/2023,34,JTPL Pvt. Ltd.
LC-3363 Map View,ANSAL KAR-36 DDJAY-APHP,LC-3363A,49 OF 2018,12/07/2018,DDJAY-APHP,12.20833,KARNAL,11/07/2023,36,Ansal Housing & Construction Pvt. Ltd
LC-3365 Map View,ANSAL KAR-36 DDJAY-APHP,LC-3365A,50 OF 2018,12/07/2018,DDJAY-APHP,6.63541,KARNAL,11/07/2023,36,Ansal Housing & Construction Pvt. Ltd
LC-3647 Map View,CHD KAR-45 DDJAY-APHP,LC-3647A,64 OF 2018,14/09/2018,DDJAY-APHP,12.79375,KARNAL,13/09/2023,45,CHD Developers Ltd
LC-3373 Map View,(Zoning Plan) AEGIS KAR-32 DDJAY-APHP (ZONING PLAN),LC-3373A,88 OF 2018,14/12/2018,DDJAY-APHP,5.975,KARNAL,13/12/2023,32,Aegis Skyhigh Housing Corporation Pvt. Ltd.
LC-3953 Map View,JTPL KAR-34 DDJAY-APHP,LC-3953A,74 OF 2019,22/07/2019,DDJAY-APHP,5.725,KARNAL,21/07/2024,34,JTPL Pvt. Ltd.
LC-4031 Map View,VAASTU KAR-35 DDJAY-APHP,LC-4031A,92 OF 2019,09/08/2019,DDJAY-APHP,5,KARNAL,08/08/2024,35,VAASTU INFRATECH PVT. LTD.
LC-3389 Map View,RAJDARBAR KAR-35 DDJAY-APHP (Demarcation cum Zoning Plan),LC-3389A,96 OF 2019,20/08/2019,DDJAY-APHP,5.57291,KARNAL,19/08/2026,35,RAJDARBAR BUILDERS PRIVATE LIMITED
,,LC-3389B,41 OF 2022,07/04/2022,DDJAY-APHP,6.21875,KARNAL,06/04/2027,36,RAJDARBAR BUILDERS PRIVATE LIMITED
LC-4284 Map View,ALPHA KAR-29 DDJAY-APHP,LC-4284A,15 OF 2021,12/03/2021,DDJAY-APHP,10.28194,KARNAL,11/03/2026 0.819 ACRES migrated from LC-632B(948-955 of 2016),29,Alpha Corp. Development Pvt. Ltd.
LC-4465 Map View,MORINGA KAR-29 DDJAY-APHP,LC-4465A,70 OF 2021,17/09/2021,DDJAY-APHP,5.4875,KARNAL,16/09/2026,29,MORINGA DEVELOPERS PRIVATE LIMITED
LC-4461 Map View,RCNP KAR-45 DDJAY-APHP,LC-4461A,78 OF 2021,01/09/2021,DDJAY-APHP,6.363,KARNAL,30/09/2026,45,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED
LC-4601 Map View,ALPHA KAR-28 CPL,LC-4601A,108 OF 2021,17/12/2021,CPL,4.1055,KARNAL,16/12/2026,28,Alpha Corp. Development Pvt. Ltd.
LC-4533 Map View,RAS BUILDWELL KAR-45 CPL,LC-4533A,114 OF 2021,23/12/2021,CPL,3.13125,KARNAL,22/12/2026,45,RAS BUILDWELL PVT LTD
LC-4453 Map View,ESMAX KAR-32 CPL,LC-4453A,121 OF 2021,31/12/2021,CPL,2.325,KARNAL,30/12/2026,32,ESMAX INFRADEVELOPERS PRIVATE LIMITED
LC-4619 Map View,ALPHA KAR-28 CPL,LC-4619A,27 OF 2022,22/03/2022,CPL,4.286,KARNAL,21/03/2027,28,Alpha Corp. Development Pvt. Ltd.
LC-4620 Map View,ALPHA KAR-28 CPL,LC-4620A,29 OF 2022,22/03/2022,CPL,4.23263,KARNAL,21/03/2027,28,Alpha Corp. Development Pvt. Ltd.
LC-3949 Map View,RAJDARBAR KAR-35 DDJAY-APHP (Revised Layout Plan) (Layout Plan) (Zoning Plan),LC-3949A,36 OF 2022,07/04/2022,DDJAY-APHP,18.9978,KARNAL,06/04/2027,35,RAJDARBAR BUILDERS PRIVATE LIMITED
,,LC-3949B,08 OF 2026,12/01/2026,DDJAY-APHP,8.25,KARNAL,11/01/2031,35,RAJDARBAR BUILDERS PRIVATE LIMITED
LC-4703 Map View,ARV KAR-45 DDJAY-APHP,LC-4703A,104 OF 2022,28/07/2022,DDJAY-APHP,11.15,KARNAL,27/07/2027,45,ARV Builders
LC-3863 Map View,VISHAL KAR-29 DDJAY-APHP,LC-3863A,148 OF 2022,22/09/2022,DDJAY-APHP,6.7388,KARNAL,21/09/2027,29,Sh. Vishal Jain Son of Sh. Vinod Jain
LC-4850 Map View,ALPHA KAR-28A DDJAY-APHP,LC-4850A,218 OF 2022,29/12/2022,DDJAY-APHP,5.087,KARNAL,28/12/2027,28A,Alpha Corp. Development Pvt. Ltd.
LC-4776 Map View,RCNP KAR-45 DDJAY-APHP,LC-4776A,20 OF 2023,02/02/2023,DDJAY-APHP,5.0058,KARNAL,01/02/2028,45,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED
LC-5027 Map View,PRIVADO PAN IPA (Zoning Plan),LC-5027A,84 OF 2023,18/04/2023,IPA,29.1125,Karnal,17/04/2028,,Privado Infra Private Limited
LC-5051 Map View,GURDEEP KAR-45 DDJAY-APHP,LC-5051A,142 OF 2023,11/07/2023,DDJAY-APHP,5,KARNAL,10/07/2028,45,Gurdeep Singh
LC-5061 Map View,RAMESHWAR KAR-29 DDJAY-APHP,LC-5061A,146 OF 2023,17/07/2023,DDJAY-APHP,5.625,KARNAL,16/07/2028,29,Sukh Dayal
,,LC-5061B,224 OF 2023,30/10/2023,DDJAY-APHP,3.375,KARNAL,29/10/2028,29,Sukh Dayal
LC-4858 Map View,GSM KAR-29 DDJAY-APHP,LC-4858A,159 OF 2023,10/08/2023,DDJAY-APHP,6,KARNAL,09/08/2028,29,GSM ESTATES PVT. LTD.
LC-4890 Map View,GOLFLINK KAR-34 DDJAY-APHP,LC-4890A,198 OF 2023,05/10/2023,DDJAY-APHP,9.3,KARNAL,04/10/2028,34,Golf Link Projects Pvt. Ltd.
LC-4805 Map View,PARTAP KAR-32 CPL,LC-4805A,236 OF 2023,26/10/2023,CPL,2.94,KARNAL,25/10/2028,32,Partap Infradevelopers Pvt. Ltd.
LC-5056 Map View,HARYANA KAR-28A&29 RPL (Layout Plan) (Demarcation cum Zoning Plan),LC-5056A,60 OF 2024,10/06/2024,RPL,24.86875,KARNAL,09/06/2029,29,HARYANA PROMOTERS PVT. LTD.
LC-5382 Map View,RCNP KAR-29 DDJAY-APHP,LC-5382A,151 OF 2024,15/11/2024,DDJAY-APHP,6.4875,KARNAL,14/11/2029,29,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED
LC-5351 Map View,ARMAN KAR-27 DDJAY-APHP (Demarcation Cum Zoning Plan) (Layout Plan),LC-5351A,05 OF 2025,10/01/2025,DDJAY-APHP,5.11875,KARNAL,09/01/2030,27,Arman Residency
,,LC-5351B,31 OF 2026,18/02/2026,DDJAY-APHP,6.225,KARNAL,16/02/2031,27,Arman Residency
LC-5291 Map View,APRAMJIT KAR NILP (Demarcation Cum Zoning Plan),LC-5291A,19 OF 2025,04/02/2025,NILP,5.0625,KARNAL,03/02/2030,32 & 32A,Apramjit Virk
LC-5434 Map View,"LANDADIL KAR-28,28A DDJAY-APHP (Layout Plan) Demarcation - Cum - Zoning -Plan Revised - Layout -Cum Demarcation Plan",LC-5434A,42 OF 2025,28/03/2025,DDJAY-APHP,6.63125,KARNAL,27/03/2030,28A,Landadil Private Limited
LC-5486 Map View,DIVINE KAR-14 DDJAY-APHP (Layout Plan) (Layout Plan),LC-5486A,55 OF 2025,17/04/2025,DDJAY-APHP,9.604,KARNAL,16/04/2030,14,Divine Vision Infraspace Pvt. Ltd.
LC-5511 Map View,RANBIR KAR-29 CPL ( Layout Plan),LC-5511A,117 OF 2025,10/07/2025,CPL,1,KARNAL,09/07/2030,29,Ranbir Singh
LC-5519 Map View,ESMAX KAR-33 DDJAY-APHP (Layout Plan),LC-5519A,188 OF 2025,30/09/2025,DDJAY-APHP,5.03125,KARNAL,29/09/2030,33,ESMAX INFRADEVELOPERS PRIVATE LIMITED
LC-5588 Map View,POSWAL KAR-28 DDJAY-APHP (Layout Plan) (Demarcation cum Zoning Plan),LC-5588A,195 OF 2025,15/10/2025,DDJAY-APHP,6.17,KARNAL,14/10/2030,28A,POSWAL LAND AND STRUCTURE INNOVATIONS PVT LTD
LC-5352 Map View,AARIZE KAR-34 DDJAY-APHP ( Layout Plan),LC-5352A,206 OF 2025,15/10/2025,DDJAY-APHP,9.4166,KARNAL,14/10/2030,34,Aarize Township LLP
LC-5333 Map View,ALPHA KAR-29 DDJAY-APHP (Layout Plan),LC-5333A,222 OF 2025,14/11/2025,DDJAY-APHP,6.38125,KARNAL,13/11/2030,29,Alpha Corp. Development Pvt. Ltd.
LC-5607 Map View,VALLABH KAR-29 DDJAY-APHP (Layout Plan) (Demarcation cum zoning Plan),LC-5607A,230 OF 2025,20/11/2025,DDJAY-APHP,10.725,KARNAL,19/11/2030,29,Vallabh Township Private Limited
LC-5554 Map View,KNCOLONIZERS KAR-36 RGH (Demarcation cum Zoning Plan),LC-5554A,266 OF 2025,31/12/2025,RGH,3.03125,KARNAL,30/12/2030,36,K.N. Colonizers Pvt. Ltd.
