CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-4040,ONE ROH-27A DDJAY-APHP ( Demarcation - Cum Zoning Plan ),,,,LC-4040B,95 OF 2025,10/06/2025,DDJAY-APHP,2.05,Rohtak,09/06/2030,27A,ONE HEIGHT DEVELOPERS PVT LTD,View Land Schedule,View
LC-4534,PATANJALI ROH-35 RGH,24/04/2024,,,LC-4534A,183 OF 2023,12/09/2023,RGH,2.44375,Rohtak,11/09/2028,35,PATANJALI BUILDCON PVT. LTD.,View Land Schedule,View
LC-5097,RISHIKA ROH-22 DDJAY-APHP (Revised Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5097A,216 OF 2023,23/10/2023,DDJAY-APHP,9.75625,Rohtak,22/10/2028,NA,Rishika Green Global LLP,View Land Schedule,View
LC-5097,RISHIKA ROH-22 DDJAY-APHP (Revised Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5097B,33 OF 2025,21/03/2025,DDJAY-APHP,5.45,Rohtak,20/03/2030,NA,Rishika Green Global LLP,View Land Schedule,View
LC-5324,FORTEASIA ROH IPL (Revised Layout Plan) (Layout Plan) (Zoning Plan) (Zoning Plan) (Demarcation Cum Zoning Plan) (Demarcation Cum Zoning Plan) (Layout Plan),,,,LC-5324A,86 OF 2024,15/07/2024,IPA,22.2375,Kalanaur,14/07/2029,NA,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-5324,FORTEASIA ROH IPL (Revised Layout Plan) (Layout Plan) (Zoning Plan) (Zoning Plan) (Demarcation Cum Zoning Plan) (Demarcation Cum Zoning Plan) (Layout Plan),,,,LC-5324C,84 OF 2025,28/05/2025,IPA,43.69375,Kalanaur,27/05/2030,NA,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-5324,FORTEASIA ROH IPL (Revised Layout Plan) (Layout Plan) (Zoning Plan) (Zoning Plan) (Demarcation Cum Zoning Plan) (Demarcation Cum Zoning Plan) (Layout Plan),,,,LC-5324E,185 OF 2025,24/09/2025,IPA,34.73125,Kalanaur,23/09/2030,NA,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-5324,FORTEASIA ROH IPL (Revised Layout Plan) (Layout Plan) (Zoning Plan) (Zoning Plan) (Demarcation Cum Zoning Plan) (Demarcation Cum Zoning Plan) (Layout Plan),,,,LC-5324F,86 OF 2026,07/05/2026,IPA,6.85,Kalanaur,06/05/2031,NA,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-5165,PALM ROH-21D DDJAY-APHP (Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5165A,81 OF 2025,27/05/2025,DDJAY-APHP,8.8875,Rohtak,26/05/2030,21D,Palm Abodes Infra,View Land Schedule,View
LC-5490,OM ROH-21B DDJAY-APHP (Demarcation cum Zoning Plan),,,,LC-5490A,104 OF 2025,19/06/2025,DDJAY-APHP,10.4375,Rohtak,18/06/2030,21B,Om New Era Pvt. Ltd.,View Land Schedule,View
LC-5676,FORTEASIA ROH-21C DDJAY-APHP (Layout plan) (Demarcation cum Zoning Plan),,,,LC-5676A,120 OF 2025,11/07/2025,DDJAY-APHP,13.71875,Rohtak,10/07/2030,22A,Forteasia Realty Pvt. Ltd.,View Land Schedule,View
LC-5202,OPG ROH-6 DDJAY-APHP Layout Plan (Demarcation Cum Zoning Plan) (Demarcation cum Zoning Plan),,,,LC-5202A,123 OF 2025,17/07/2025,DDJAY-APHP,17,Rohtak,16/07/2030,6,OPG Developers Private Limited,View Land Schedule,View
LC-5601,PRIMA ROH DDJAY-APHP (Layout Plan) (Demarcation cum zoning plan),,,,LC-5601A,141 OF 2025,08/08/2025,DDJAY-APHP,5.725,Rohtak,07/08/2030,NA,M/s Prima Life Spaces Private Limited,View Land Schedule,View
LC-5665,EMPIRE ROH-36A DDJAY-APHP (Proposed Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5665A,163 OF 2025,03/09/2025,DDJAY-APHP,9.33125,Rohtak,02/09/2030,36A,Empire South Pvt. Ltd.,View Land Schedule,View
LC-5544,IMPERIALSTONE ROH-21D DDJAY-APHP (Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5544A,249 OF 2025,12/12/2025,DDJAY-APHP,5.325,Rohtak,11/12/2030,21D,Imperialstone Infraparks Pvt. Ltd.,View Land Schedule,View
LC-5794,VRR ROH-22D DDJAY-APHP (Layout Plan) (Layout cum Demarcation Plan),,,,LC-5794A,46  OF 2026,13/03/2026,DDJAY-APHP,14.76875,Rohtak,12/03/2031,22D,VRR Residency LLP,View Land Schedule,View
LC-5471,DEEPAK ROH IPL (Layout Plan),,,,LC-5471A,77 OF 2026,29/04/2026,IPA,30.8675,Kalanaur,28/04/2031,NA,Deepak Maini,View Land Schedule,View
LC-5722,CONSONANCE ROH-21E DDJAY-APHP (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5722A,102 OF 2026,26/06/2026,DDJAY-APHP,20.8239,Rohtak,25/05/2031,21E,Consonance Infra LLP,View Land Schedule,View
LC-5778,AARADHYA ROH-25D DDJAY-APHP (Layout Plan),,,,LC-5778A,116 OF 2026,11/06/2026,DDJAY-APHP,5.9597,Rohtak,10/06/2031,25D,AARADHYA INFRASPACES LLP,View Land Schedule,View
LC-5821,SHYAMPREM ROH DDJAY-APHP (Layout Plan),,,,LC-5821A,134 OF 2026,07/07/2026,DDJAY-APHP,12.5753,Rohtak,06/07/2031,NA,Shyamprem Estate Private Limited,View Land Schedule,View
LC-5204,GALAXY MAGNUM ROH-27C DDJAY-APHP (Layout Plan),,,,LC-5204A,143 OF 2026,14/07/2026,DDJAY-APHP,15.565,Rohtak,13/07/2031,27C,Galaxy Magnum Projects Pvt. Ltd.,View Land Schedule,View
