Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
11,-472-2019,44 SCO'S AND 1 CLINIC FORMING PART OF COMMERCIAL SITE-I,HRERA-PKL-RTK-63-2018,FORTEASIA REALTY PVT. LTD.,"SECTOR-26 & 28, OMAXE CITY",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/527 | https://haryanarera.gov.in/view_project/view_certificate/NTY3 | https://haryanarera.gov.in/view_project/project_preview_open/527
12,-767-2019,AFFORTABLE PLOTTED COLONY(ONE CITY) 5.3906256 ACRES,"185/2017, DATED 14-09-2017",ONE POINT REALTY PVT. LTD.,"SECTOR-37, ROHTAK",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/935 | https://haryanarera.gov.in/view_project/view_certificate/MTk0 | https://haryanarera.gov.in/view_project/project_preview_open/935
13,-444-2019,AFFORDABLE RESIDENTIAL  PLOTTED  COLONY  ON 13.75 ACRES,217 OF 2017 DATED 18.09.2017,OMEX LTD.,"VILLAGE MAINA, SURARI KALAN, SUNARI KHURD, SECTOR 22D, DISTRICT ROHTAK ,HARYANA",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/488 | https://haryanarera.gov.in/view_project/view_certificate/Njc= | https://haryanarera.gov.in/view_project/project_preview_open/488
14,-482-2019,RESIDENTIAL PLOTTED COLONY 130.447 ACRES,"172/2017, DATED 29.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.,"SECTOR 34(P), 35, 36, ROHTAK",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/541 | https://haryanarera.gov.in/view_project/view_certificate/MTMy | https://haryanarera.gov.in/view_project/project_preview_open/541
15,-447-2019,14.80 ACRSE AFFORDABLE RSEIDENTIAL PLOTTED COLONY,195 OF 2017 DATED 15.09.2017,OMEX LTD.,"VILLAGE MAINA,  SUNARI KALAN, SUNARI KHURD, SEC-22D, DISTRICT ROHTAK, HARYANA.",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/491 | https://haryanarera.gov.in/view_project/view_certificate/NTA= | https://haryanarera.gov.in/view_project/project_preview_open/491
16,-1229-2023,SHARDA FARMS & HOLDING PVT. LTD.,194 OF 2017 DATED 14.09.2017,SHARAD FARMS & HOLDING PVT. LTD.,"VILLAGE PARA, SEC-36, TEHSIL & DISTRICT ROHTAK, HARYANA",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2363 | https://haryanarera.gov.in/view_project/view_certificate/NDA= | https://haryanarera.gov.in/view_project/project_preview_open/2363
17,RERA-PKL-976-2021,SUNCITY 34,HRERA-PKL-ROH-284-2021,SUNCITY BUILDCON PVT LTD.,SECTOR 34 ROHTAK,ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1760 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1760
18,RERA-PKL-806-2020,JOP PALMS,HRERA-PKL-ROH-226-2021,JOP INTERNATIONAL LIMITED,"GARHI BOHAR, SECTOR 28",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1205 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1205
19,RERA-PKL-889-2020,SECTOR-27-28-26 PART-I-II-III,Not Issued Yet,"ESTATEOFFICER,HSVP ROHTAK","ESTATE OFFICE, HSVP ROHTAK",ROHTAK,HRERA,In-Process,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1510 | https://haryanarera.gov.in/view_project/project_preview_open/1510
23,RERA-PKL-392-2019,SECTOR-25 (RESIDENTIAL),HRERA-PKL-ROH-209-2020,ESTATE OFFICER,"ESTATE OFFICE, HSVP OFFICE BUILDING, SECTOR-3, ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/373 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/373
